id,date,medtype,medium,headline
11031,2015-03-10T09:29:55Z,Internet,4 NOS.nl,'Eco-terroristen' dreigen babymelkpoeder te vergiftigen
11045,2015-03-10T22:00:58Z,Internet,4 NOS.nl,Winst Wall Street smelt weg
11051,2015-03-11T07:46:32Z,Internet,4 NOS.nl,Telegraaf lijdt weer verlies
11053,2015-03-11T07:54:29Z,Internet,4 NOS.nl,Watersportsector krijgt weer hoop na zware crisis
11059,2015-03-11T08:55:41Z,Internet,4 NOS.nl,"McDonald's: meer klanten, meer omzet"
11105,2015-03-12T12:18:35Z,Internet,4 NOS.nl,DNB waarschuwt voor zeepbellen
11107,2015-03-12T12:30:05Z,Internet,4 NOS.nl,Kamer steunt doorwerken na pensioen
11115,2015-03-12T13:23:01Z,Internet,4 NOS.nl,Kleine Jeroen Dijsselbloem vond sparen 'hartstikke leuk'
11125,2015-03-12T17:22:40Z,Internet,4 NOS.nl,Mansveld: geen KLM-banen naar Parijs
11141,2015-03-13T08:56:13Z,Internet,4 NOS.nl,Kamp: opvolging Opstelten is aan Rutte
11143,2015-03-13T09:58:47Z,Internet,4 NOS.nl,Dijsselbloem: Griekenland geeft anderen de schuld
11169,2015-03-15T07:46:42Z,Internet,4 NOS.nl,Chinese premier: 7 procent groei 'het nieuwe normaal'
11185,2015-03-16T10:02:06Z,Internet,4 NOS.nl,Werkende Nederlander ziet koopkracht sterkst stijgen
11189,2015-03-16T10:46:57Z,Internet,4 NOS.nl,Eindstreep nadert: Haagse kopstukken in debat
11191,2015-03-16T12:40:04Z,Internet,4 NOS.nl,Aandelenbeurzen zetten koersopmars voort
11205,2015-03-16T15:32:16Z,Internet,4 NOS.nl,Banco de Madrid sluit deuren na bankrun
11225,2015-03-17T10:32:04Z,Internet,4 NOS.nl,'Fingergate' zet Duits-Griekse relatie verder onder druk
11227,2015-03-17T10:50:57Z,Internet,4 NOS.nl,Zorgen om minder dagbesteding
11229,2015-03-17T12:01:21Z,Internet,4 NOS.nl,"Betalen om te sparen, kan dat?"
11301,2015-03-19T17:30:02Z,Internet,4 NOS.nl,'De Grieken lijken op ramkoers te liggen'
11311,2015-03-19T21:46:09Z,Internet,4 NOS.nl,Crisisoverleg EU-leiders en Grieken van start
11335,2015-03-20T14:14:32Z,Internet,4 NOS.nl,Kabinet: het lukt ons in de Eerste Kamer
11343,2015-03-20T15:57:07Z,Internet,4 NOS.nl,Brabants Energieakkoord  levert 5.000 banen op
11365,2015-03-21T11:46:24Z,Internet,4 NOS.nl,'Niet eens genoeg geld om een biertje te kopen'
11373,2015-03-21T19:11:39Z,Internet,4 NOS.nl,Duizenden Ieren de straat op voor waterbelasting
11407,2015-03-23T13:34:56Z,Internet,4 NOS.nl,Huishoudelijke hulp tijdelijk goedkoper
11415,2015-03-23T18:20:53Z,Internet,4 NOS.nl,Wat moeten de Grieken nu doen?
11421,2015-03-24T06:59:50Z,Internet,4 NOS.nl,45-plussers vaker in de schuldsanering
11439,2015-03-25T02:47:03Z,Internet,4 NOS.nl,Premier Rutte op zakenreis naar China
11467,2015-03-25T17:26:50Z,Internet,4 NOS.nl,Ploumen positief over omstreden handelsverdrag TTIP
11469,2015-03-25T18:36:51Z,Internet,4 NOS.nl,Grootste Nederlandse deurfabrikant failliet
11473,2015-03-25T19:16:36Z,Internet,4 NOS.nl,Miljoeneninvestering in schoonmaak-startup
11483,2015-03-26T05:58:53Z,Internet,4 NOS.nl,Aftellen Tourstart Utrecht: nog 100 dagen
11495,2015-03-26T12:19:19Z,Internet,4 NOS.nl,Oud-staatssecretaris Teeven is weer VVD-Kamerlid
11513,2015-03-27T01:12:38Z,Internet,4 NOS.nl,Eerste 'confrontatie' tussen Cameron en Miliband
11559,2015-03-28T11:32:00Z,Internet,4 NOS.nl,China neemt voortouw in nieuwe investeringsbank
11583,2015-03-30T07:56:20Z,Internet,4 NOS.nl,'Lijst met Griekse hervormingen afgekeurd'
11611,2015-03-30T19:04:28Z,Internet,4 NOS.nl,Exporteurs rekenen op groei van 9 procent
11639,2015-03-31T13:34:16Z,Internet,4 NOS.nl,Asscher pakt schijnconstructies pakketbezorgers aan
11647,2015-03-31T14:59:04Z,Internet,4 NOS.nl,Meer hulp voor werkloze migrantenjongeren
11657,2015-04-01T02:09:39Z,Internet,4 NOS.nl,PvdA wil dat boetes voor slechte hygiëne openbaar worden
11673,2015-04-01T08:05:00Z,Internet,4 NOS.nl,Fors meer file door herstel economie
11679,2015-04-01T11:30:57Z,Internet,4 NOS.nl,Bezuinigingen NFI gaan door
11685,2015-04-01T13:44:29Z,Internet,4 NOS.nl,Coalitie vergadert over nieuw belastingstelsel
11713,2015-04-02T11:56:05Z,Internet,4 NOS.nl,PvdA-fracties Brussel en Den Haag tegen TTIP
11745,2015-04-03T13:03:10Z,Internet,4 NOS.nl,Cyprus heft laatste restricties op na crisis
11749,2015-04-03T17:10:43Z,Internet,4 NOS.nl,V&D zoekt guerrillastrategieën
11775,2015-04-06T01:48:07Z,Internet,4 NOS.nl,IMF blij met toezegging Griekenland
11783,2015-04-07T09:22:31Z,Internet,4 NOS.nl,Amsterdam trekt miljoenen uit tegen jeugdwerkloosheid
11787,2015-04-07T07:31:14Z,Internet,4 NOS.nl,Zuinige auto's met subsidie gewild over de grens
11805,2015-04-07T15:37:53Z,Internet,4 NOS.nl,AEX voor eerst in 7 jaar boven de 500 punten
11843,2015-04-08T12:01:57Z,Internet,4 NOS.nl,Nieuwe wet moet klokkenluider beschermen
11869,2015-04-09T08:00:12Z,Internet,4 NOS.nl,Inflatie opnieuw iets gestegen
11871,2015-04-09T08:00:35Z,Internet,4 NOS.nl,NVM: woningmarkt in rustiger vaarwater
11873,2015-04-09T09:02:45Z,Internet,4 NOS.nl,Wat doen de huizenprijzen bij u in de buurt?
11879,2015-04-09T11:23:55Z,Internet,4 NOS.nl,FNV woedend op ING om ontslagkwestie
11887,2015-04-09T13:54:47Z,Internet,4 NOS.nl,Etam al meer dan 90 jaar in de damesmode
11889,2015-04-09T14:40:55Z,Internet,4 NOS.nl,'Hogere gemeentebelasting kan banen opleveren'
11891,2015-04-09T12:55:59Z,Internet,4 NOS.nl,Vijf vragen over de hack bij TV5 Monde
11915,2015-04-10T04:26:59Z,Internet,4 NOS.nl,'Amerikanen hebben weer interesse in zuiderburen'
11933,2015-04-10T16:56:01Z,Internet,4 NOS.nl,Opnieuw incident Amerikaanse Secret Service
11945,2015-04-11T09:04:50Z,Internet,4 NOS.nl,Dijkhoff: cybercrime begint economie te raken
11973,2015-04-13T09:44:04Z,Internet,4 NOS.nl,CPB: Kilometerheffing moeilijk uitvoerbaar
11979,2015-04-13T12:41:11Z,Internet,4 NOS.nl,'Je kan niet bezuinigen op thuiszorg en tegelijk verpleeghuizen
11999,2015-04-14T08:39:54Z,Internet,4 NOS.nl,Raad van State ziet geen ruimte voor lastenverlichting
12003,2015-04-14T10:13:32Z,Internet,4 NOS.nl,Nederlandse export zet stijgende lijn door
12005,2015-04-14T11:17:49Z,Internet,4 NOS.nl,"Zorgen over zeepbellen, verzekeraars en bonussen"
12009,2015-04-14T13:20:12Z,Internet,4 NOS.nl,Pensioenen ABP volgend jaar niet omhoog
12021,2015-04-14T15:31:01Z,Internet,4 NOS.nl,IMF: meer groei Europa en Nederland
12063,2015-04-16T08:30:52Z,Internet,4 NOS.nl,Personeel fastfoodketens VS de straat op
12085,2015-04-16T15:12:27Z,Internet,4 NOS.nl,'Meer verwarde mensen op straat door chaos ggz'
12119,2015-04-17T11:46:48Z,Internet,4 NOS.nl,Zzp'ers krijgen pensioenbescherming in bijstand
12123,2015-04-17T13:16:28Z,Internet,4 NOS.nl,"Tv-presentator door het lint: val eens wat af, popje"
12125,2015-04-17T15:47:49Z,Internet,4 NOS.nl,'Amerikaanse bedrijfslobby is heel succesvol'
12131,2015-04-18T06:08:20Z,Internet,4 NOS.nl,Autoslaaptrein trekt per direct de stekker eruit
