i,perc,n,acc,cor,alpha
5,0.8578947368421053,5186,0.6161971830985915,0.5747042687636332,0.5663127337553225
5,0.9052631578947369,5462,0.6338028169014085,0.5658690286188733,0.5586684011996581
5,0.9526315789473684,5752,0.6232394366197183,0.5466895705676967,0.5381720462071713
5,1.0,6038,0.6830985915492958,0.6303990252790103,0.6279584331558146
6,0.1,621,0.4788732394366197,0.3661193479964807,0.23282681099084102
6,0.1473684210526316,893,0.38380281690140844,0.1839971244183783,-0.08712373179798205
6,0.19473684210526315,1167,0.4154929577464789,0.3778518482807718,0.10054119061936251
6,0.24210526315789474,1484,0.5352112676056338,0.43108644636955085,0.38538587751668907
6,0.2894736842105263,1711,0.5774647887323944,0.515085352348417,0.504787766185508
6,0.33684210526315794,2103,0.573943661971831,0.44801593915975163,0.44227601064503863
6,0.38421052631578945,2314,0.5704225352112676,0.41844603235486133,0.3865331491712707
6,0.43157894736842106,2613,0.5774647887323944,0.5139747932776596,0.45704194896929506
6,0.4789473684210527,2919,0.6232394366197183,0.5643824167009334,0.5305612005627638
6,0.5263157894736842,3187,0.6338028169014085,0.5834883350166561,0.5808839710421333
6,0.5736842105263158,3480,0.602112676056338,0.5261378056060556,0.5153095471678628
6,0.6210526315789474,3747,0.647887323943662,0.5941640716222496,0.5842827170798837
6,0.6684210526315789,4023,0.6443661971830986,0.5786330474511934,0.5601409095533625
6,0.7157894736842105,4311,0.6654929577464789,0.6335122010694114,0.6264374700527072
6,0.7631578947368421,4620,0.6584507042253521,0.5768056568682776,0.5680278487540731
6,0.8105263157894737,4871,0.6056338028169014,0.5199215614277447,0.5070335853701424
6,0.8578947368421053,5186,0.6514084507042254,0.5581462329079947,0.5486086682835614
6,0.9052631578947369,5463,0.6232394366197183,0.5192523961814283,0.4837219953436892
6,0.9526315789473684,5741,0.6654929577464789,0.6036756911320742,0.5959676405247936
6,1.0,6038,0.6408450704225352,0.5599163708829016,0.5453930610931423
7,0.1,600,0.49295774647887325,0.3973381308683933,0.38118451688009314
7,0.1473684210526316,897,0.38380281690140844,0.22953557121070917,-0.19953775038520805
7,0.19473684210526315,1194,0.5492957746478874,0.4519533790173119,0.4401933536122541
7,0.24210526315789474,1517,0.4753521126760563,0.3514366774936877,0.12921962675462972
7,0.2894736842105263,1789,0.602112676056338,0.49894117245030273,0.49671578199893485
7,0.33684210526315794,2047,0.5915492957746479,0.5109008864989313,0.503104029416271
7,0.38421052631578945,2339,0.5246478873239436,0.41809295766335763,0.4116848910527575
7,0.43157894736842106,2644,0.6126760563380281,0.5541501402563861,0.5527584963490489
7,0.4789473684210527,2910,0.5950704225352113,0.47390245862728786,0.44197967673571903
7,0.5263157894736842,3193,0.6408450704225352,0.5694951032294097,0.5600895045764275
7,0.5736842105263158,3404,0.6197183098591549,0.5483804126620986,0.5133418527913941
7,0.6210526315789474,3719,0.5633802816901409,0.5195318679686634,0.45453233603501764
