i,n,acc,cor,alpha
7,4545,0.6232394366197183,0.5686994740300158,0.5469764648474156
7,5050,0.6408450704225352,0.6053171486898707,0.6013791452889174
7,5555,0.6654929577464789,0.6195170954334939,0.6105769230769231
7,6038,0.6373239436619719,0.5487596505674408,0.5276493062537704
8,505,0.2640845070422535,-0.009976229991815366,-0.4916708260544047
8,1010,0.36971830985915494,0.21407626510437738,-0.2655089124652217
8,1515,0.4894366197183099,0.43720815636214155,0.3126461690304032
8,2020,0.5985915492957746,0.5335045602177064,0.5222661603792661
8,2525,0.6056338028169014,0.5297060160445959,0.5246431367323484
8,3030,0.647887323943662,0.586688749820457,0.5856879927478504
8,3535,0.5633802816901409,0.48925923692585876,0.3683128012854848
8,4040,0.6091549295774648,0.5591391190420533,0.5205533507711735
8,4545,0.6302816901408451,0.5477731693071267,0.5092551988367531
8,5050,0.5950704225352113,0.49865754302075316,0.4700573784190296
8,5555,0.6338028169014085,0.5741027196467384,0.5678730794068196
8,6038,0.6549295774647887,0.6132077286584424,0.610778510499426
9,505,0.38380281690140844,0.259510980479799,-0.0787515352936925
9,1010,0.352112676056338,0.0070417854916867305,-0.4021993262108874
9,1515,0.5246478873239436,0.43532426262611135,0.3508927808628791
9,2020,0.528169014084507,0.47365115119355394,0.3582840695610211
9,2525,0.6232394366197183,0.557609122025474,0.5560781178995549
9,3030,0.5950704225352113,0.5298086196846,0.5085950505976318
9,3535,0.6161971830985915,0.5700865694302873,0.5644784032434118
9,4040,0.6232394366197183,0.5595919862592625,0.5393262514551804
9,4545,0.5528169014084507,0.503069228687809,0.4290645142183285
9,5050,0.5669014084507042,0.4812913742081013,0.4252342764462065
9,5555,0.6690140845070423,0.6179144637927894,0.6136275321427969
9,6038,0.5035211267605634,0.40258403704589424,0.30682242673277416
10,505,0.352112676056338,0.0070417854916867305,-0.4021993262108874
10,1010,0.4507042253521127,0.35268240376954424,0.1522451110689197
10,1515,0.5211267605633803,0.42439013996514313,0.3678794245653152
10,2020,0.5563380281690141,0.48335340373631497,0.46646143122676575
10,2525,0.5915492957746479,0.5436593398230352,0.5310765850794512
10,3030,0.6161971830985915,0.5458401711609762,0.5343975045932261
10,3535,0.5528169014084507,0.5015274731426526,0.4650268330939489
10,4040,0.647887323943662,0.5981256723775383,0.5845545134818289
10,4545,0.6514084507042254,0.5798425861995806,0.5609682197683814
10,5050,0.6408450704225352,0.5838534699369446,0.5576500898089518
10,5555,0.5985915492957746,0.5197127626458492,0.4901445939141069
10,6038,0.5176056338028169,0.47025620460623524,0.30793374019180475
11,505,0.352112676056338,0.0070417854916867305,-0.4021993262108874
11,1010,0.45422535211267606,0.3132185564124911,0.18660774196533936
11,1515,0.5140845070422535,0.3419785815347067,0.31014616747870816
11,2020,0.602112676056338,0.5063787468833284,0.4945783573888197
11,2525,0.5387323943661971,0.47858257876640664,0.42903701058082944
11,3030,0.602112676056338,0.4977201585164095,0.48812052999464817
11,3535,0.6056338028169014,0.48825864338035474,0.4862618071443132
11,4040,0.6126760563380281,0.5735368544424255,0.4899250750193447
11,4545,0.6408450704225352,0.5741650517992154,0.5661923882163848
11,5050,0.6373239436619719,0.5785537668173244,0.5562204569125433
11,5555,0.6654929577464789,0.6192910813598062,0.6161594826885896
11,6038,0.6338028169014085,0.583541876225784,0.5725250278086764
12,505,0.352112676056338,0.0070417854916867305,-0.4021993262108874
12,1010,0.5,0.4275539898247226,0.3161470023526868
12,1515,0.4788732394366197,0.41619079164243444,0.2536897980321078
12,2020,0.5316901408450704,0.38239089144355287,0.2359558728969453
12,2525,0.5070422535211268,0.4571512050704686,0.40148468914321056
12,3030,0.6126760563380281,0.4931000662659881,0.49113475177304966
12,3535,0.6267605633802817,0.583107451108844,0.5704965301534551
12,4040,0.6690140845070423,0.5873999873128067,0.5761357101782634
12,4545,0.6302816901408451,0.5432089561674946,0.5294096420323327
12,5050,0.6302816901408451,0.549404347384778,0.5386542153489435
12,5555,0.6971830985915493,0.6136885272336445,0.6117310282891782
12,6038,0.6549295774647887,0.6191384391821567,0.5999810462471569
13,505,0.3380281690140845,0.15851596294582565,-0.1645332718429422
13,1010,0.38380281690140844,0.22385700866575206,-0.16160977537311183
13,1515,0.5669014084507042,0.4520428603772217,0.4452721374504385
13,2020,0.5669014084507042,0.4670728731797971,0.4654955703772782
13,2525,0.5492957746478874,0.43054277593155005,0.35060472787245744
13,3030,0.5669014084507042,0.4904314044584179,0.471130815292492
13,3535,0.5880281690140845,0.536093000370555,0.4756774830596582
13,4040,0.5704225352112676,0.508381656124224,0.43308721735117683
13,4545,0.6197183098591549,0.537392858706512,0.5229640815446015
