i,perc,n,acc,cor,alpha
1,0.4789473684210527,2914,0.6056338028169014,0.4734877541373099,0.43223548540609136
1,0.5263157894736842,3147,0.5880281690140845,0.37782716343694905,0.33115759672853107
1,0.5736842105263158,3471,0.5845070422535211,0.4966587166414931,0.47880413076966966
1,0.6210526315789474,3710,0.6091549295774648,0.4672453817598113,0.4457418793100686
1,0.6684210526315789,4048,0.6654929577464789,0.540008739929674,0.5403127733566597
1,0.7157894736842105,4356,0.6373239436619719,0.47281319232550495,0.46524855965871603
1,0.7631578947368421,4600,0.6302816901408451,0.5278584259515152,0.5185978814587209
1,0.8105263157894737,4898,0.6302816901408451,0.4905986868572407,0.47132562851091264
1,0.8578947368421053,5227,0.6619718309859155,0.5619115088447264,0.5521112600536193
1,0.9052631578947369,5441,0.6725352112676056,0.5387761472341662,0.5272296247854165
1,0.9526315789473684,5732,0.6654929577464789,0.5315126126933954,0.5283156776095288
1,1.0,6038,0.6690140845070423,0.5372089084166776,0.5341379869002707
2,0.1,586,0.46830985915492956,0.31856086565325714,0.31318241450564377
2,0.1473684210526316,895,0.528169014084507,0.3662958912002554,0.35298353681504957
2,0.19473684210526315,1174,0.5809859154929577,0.4141750630145992,0.35039252410934885
2,0.24210526315789474,1477,0.5950704225352113,0.4947117798198977,0.4761180092000139
2,0.2894736842105263,1718,0.6091549295774648,0.4312835165875587,0.4293552366729433
2,0.33684210526315794,2002,0.5140845070422535,0.3244073314325106,0.11330272915300399
2,0.38421052631578945,2322,0.6126760563380281,0.5301726399412271,0.5202977667493797
2,0.43157894736842106,2613,0.5985915492957746,0.43954675675158916,0.42992734423907475
2,0.4789473684210527,2857,0.6197183098591549,0.46559451264550683,0.4238747050991567
2,0.5263157894736842,3127,0.5809859154929577,0.4379709220164066,0.40647088199139514
2,0.5736842105263158,3409,0.6197183098591549,0.467800785561049,0.4678259289909775
2,0.6210526315789474,3676,0.6232394366197183,0.542396436229542,0.4839803917512978
2,0.6684210526315789,3959,0.6514084507042254,0.5077252106024797,0.47283433432363686
2,0.7157894736842105,4321,0.5950704225352113,0.39789478573012077,0.3856200350074055
2,0.7631578947368421,4557,0.676056338028169,0.5769217823909485,0.5670022162292061
